Computation of population skweness started
Started writing results to file: sin_function_timing1.csv
average: 154.384106522498060
 population_value: 164.970175128864870, index i: 1, index j: 84, accumulated_mean: 30.958593347930837  
 population_value: 155.322796466358140, index i: 1, index j: 85, accumulated_mean: 30.958592916159411  
 population_value: 150.499107135104790, index i: 1, index j: 86, accumulated_mean: 30.958585517794933  
 population_value: 119.627495415083300, index i: 1, index j: 87, accumulated_mean: 30.957992122244526  
 population_value: 151.463845001355480, index i: 1, index j: 88, accumulated_mean: 30.957987942454679  
 population_value: 118.662757548832630, index i: 1, index j: 89, accumulated_mean: 30.957361127131318  
 population_value: 112.874330351328600, index i: 1, index j: 90, accumulated_mean: 30.956514406260453  
 population_value: 155.322796466358140, index i: 1, index j: 91, accumulated_mean: 30.956513974537302  
 population_value: 156.287534332608830, index i: 1, index j: 92, accumulated_mean: 30.956512199510453  
 population_value: 151.463845001355480, index i: 1, index j: 93, accumulated_mean: 30.956508020053239  
 population_value: 118.662757548832630, index i: 1, index j: 94, accumulated_mean: 30.955881254566947  
 population_value: 156.287534332608830, index i: 1, index j: 95, accumulated_mean: 30.955879479600505  
 population_value: 118.662757548832630, index i: 1, index j: 96, accumulated_mean: 30.955252735282027  
 population_value: 156.287534332608830, index i: 1, index j: 97, accumulated_mean: 30.955250960375597  
 population_value: 151.463845001355480, index i: 1, index j: 98, accumulated_mean: 30.955246781201875  
 population_value: 120.592233281333980, index i: 1, index j: 99, accumulated_mean: 30.954686007505444  
 population_value: 163.040699396363520, index i: 2, index j: 0, accumulated_mean: 30.954649314710419  
 population_value: 118.662757548832630, index i: 2, index j: 1, accumulated_mean: 30.954022611822861  
 population_value: 151.463845001355480, index i: 2, index j: 2, accumulated_mean: 30.954018432925256  
 population_value: 151.463845001355480, index i: 2, index j: 3, accumulated_mean: 30.954014254028586  
 population_value: 151.463845001355480, index i: 2, index j: 4, accumulated_mean: 30.954010075132857  
 population_value: 150.499107135104790, index i: 2, index j: 5, accumulated_mean: 30.954002678591614  
 population_value: 151.463845001355480, index i: 2, index j: 6, accumulated_mean: 30.953998499698493  
 population_value: 150.499107135104790, index i: 2, index j: 7, accumulated_mean: 30.953991103161854  
 population_value: 164.970175128864870, index i: 2, index j: 8, accumulated_mean: 30.953936239855029  
 population_value: 152.428582867606140, index i: 2, index j: 9, accumulated_mean: 30.953934366096927  
 population_value: 119.627495415083300, index i: 2, index j: 10, accumulated_mean: 30.953341118836516  
 population_value: 151.463845001355480, index i: 2, index j: 11, accumulated_mean: 30.953336940092111  
 population_value: 156.287534332608830, index i: 2, index j: 12, accumulated_mean: 30.953335165368603  
 population_value: 152.428582867606140, index i: 2, index j: 13, accumulated_mean: 30.953333291671086  
 population_value: 152.428582867606140, index i: 2, index j: 14, accumulated_mean: 30.953331417973754  
 population_value: 159.181747931360830, index i: 2, index j: 15, accumulated_mean: 30.953320145309593  
 population_value: 164.970175128864870, index i: 2, index j: 16, accumulated_mean: 30.953265283983729  
 population_value: 120.592233281333980, index i: 2, index j: 17, accumulated_mean: 30.952704570006521  
 population_value: 151.463845001355480, index i: 2, index j: 18, accumulated_mean: 30.952700391405212  
