Computation of population skweness started
Started writing results to file: sin_function_timing2.csv
average: 192.589478668744790
 population_value: 188.446080865112460, index i: 4, index j: 96  
 population_value: 189.654068562965760, index i: 4, index j: 97  
 population_value: 149.790474533807360, index i: 4, index j: 98  
 population_value: 189.654068562965760, index i: 4, index j: 99  
 population_value: 188.446080865112460, index i: 5, index j: 0  
 population_value: 189.654068562965760, index i: 5, index j: 1  
 population_value: 189.654068562965760, index i: 5, index j: 2  
 population_value: 149.790474533807360, index i: 5, index j: 3  
 population_value: 189.654068562965760, index i: 5, index j: 4  
 population_value: 189.654068562965760, index i: 5, index j: 5  
 population_value: 188.446080865112460, index i: 5, index j: 6  
 population_value: 189.654068562965760, index i: 5, index j: 7  
 population_value: 189.654068562965760, index i: 5, index j: 8  
